code,areaName,N/A,dep0,dep1,dep2,dep3,dep4
E12000001,North East,0,534296,394780,190800,53831,1973
E12000002,North West,0,1472821,1044671,485461,143300,7150
E12000003,Yorkshire and The Humber,0,1091336,785691,352188,96318,5125
E12000004,East Midlands,0,979646,690884,291841,71223,3738
E12000005,West Midlands,0,1115476,827947,379299,101174,5595
E12000006,East of England,0,1302899,893298,347732,79502,5351
E12000007,London,0,1645477,1126412,493110,145789,13104
E12000008,South East,0,1981806,1250376,462795,104955,8034
E12000009,South West,0,1225986,828631,317350,72014,4900
