"date","areaName","code","Religion: All categories: Religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"2001","North East","E12000001",2515442,2014608,3097,4370,3151,26925,4780,3886,276196,178429
"2001","North West","E12000002",6729764,5249686,11794,27211,27974,204261,6487,10625,705045,486681
"2001","Yorkshire and The Humber","E12000003",4964833,3627774,7188,15797,11554,189089,18711,9624,699327,385769
"2001","East Midlands","E12000004",4172174,3003475,7541,66710,4075,70224,33551,9863,664845,311890
"2001","West Midlands","E12000005",5267308,3823235,9760,56668,4977,216184,103870,10895,647718,394001
"2001","East","E12000006",5388140,3886778,12065,31386,30367,78931,13365,15471,902145,417632
"2001","London","E12000007",7172091,4176175,54297,291977,149789,607083,104230,36558,1130616,621366
"2001","South East","E12000008",8000645,5823025,22005,44575,19037,108725,37735,28668,1319979,596896
"2001","South West","E12000009",4928434,3646488,11299,8288,6747,23465,4614,18221,825461,383851
