code,areaName,deaths
E12000001,North East,3748
E12000002,North West,10991
E12000003,Yorkshire and The Humber,6783
E12000004,East Midlands,7100
E12000005,West Midlands,9220
E12000006,East of England,10627
E12000007,London,10731
E12000008,South East,12578
E12000009,South West,5905
