code,areaName,population
E12000001,North East,2647013
E12000002,North West,7417397
E12000003,Yorkshire and The Humber,5480774
E12000004,East Midlands,4880054
E12000005,West Midlands,5950757
E12000006,East of England,6335074
E12000007,London,8799728
E12000008,South East,9278065
E12000009,South West,5701186
